Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"🎯 KICKOFF — Sprint éditorial 15 jours","05/01/2026","5:00 PM","05/01/2026","6:00 PM","False","Lancement officiel du sprint 15 jours.

Participants : Sohaib (SEO/valid) · Aldrin (production) · Jess (publication)

Agenda :
- Validation du planning des 15 articles priorisés
- Validation des templates Canva ACT
- Configuration Metricool et UTM
- Tour de table des questions/blocages

Préparation :
- Aldrin : templates Canva prêts
- Sohaib : priorisation finale du calendrier
- Jess : Metricool configuré sur les 3 comptes

Drive : /ACT-Editorial/2026-05/00-kickoff/","Visio Google Meet ou bureau ACT","False"
"🟧 PROD — #1 L'Afrique tech 2026","05/01/2026","2:00 PM","05/01/2026","4:00 PM","False","🟧 PRODUCTION — Aldrin

Article source : https://act.africa/blog/afrique-tech-2026-experimentation-maturite

Livrables :
□ Copy LinkedIn carrousel 10 slides + post 1500 caractères
□ Copy Instagram carrousel 7 slides + caption
□ Copy Facebook carrousel 5 slides + post 200 caractères
□ Carrousels Canva (3 versions) exportés
□ Hashtags + UTM trackés

Soumission validation : @sohaib.baroud@a-ct.ma
Drive : /ACT-Editorial/2026-05/04-afrique-tech-2026/

Date publication cible : Lun 04/05","Drive ACT-Editorial","False"
"🟨 VALID — #1 L'Afrique tech 2026","05/02/2026","9:00 AM","05/02/2026","9:30 AM","False","🟨 VALIDATION — Sohaib

Article : L'Afrique tech 2026 (manifeste de lancement)

Checklist :
□ SEO : titre 50-60 car · meta 150-160 car
□ Édito : ton ACT (vouvoiement, contextualisation Maroc)
□ Cohérence positionnement Africa Centred Technology
□ Charte couleurs ACT
□ Hashtags pertinents
□ UTM trackable
□ CTA actionnable

Drive : /ACT-Editorial/2026-05/04-afrique-tech-2026/

✅ Si validé : commenter VALIDÉ + tag @jess
❌ Si à corriger : commentaire détaillé + tag @aldrin (cycle 2h)","Drive ACT-Editorial","False"
"🟩 PROG — #1 L'Afrique tech 2026","05/03/2026","5:00 PM","05/03/2026","5:30 PM","False","🟩 PROGRAMMATION — Jess

Article : L'Afrique tech 2026

Plateformes :
□ LinkedIn — 08h30 (carrousel + post)
□ Instagram — 12h30 (carrousel + caption)
□ Facebook — 19h00 (carrousel + post)
□ Instagram Story — 21h00 (extrait)

Checks :
□ Validé par Sohaib
□ Visuels charte
□ UTM testés
□ Hashtags collés

Outil : Metricool
Drive : /ACT-Editorial/2026-05/04-afrique-tech-2026/","Metricool","False"
"🟥 PUBLI — #1 L'Afrique tech 2026 ⭐","05/04/2026","","05/04/2026","","True","🟥 PUBLICATION — Jess

Article #1 : L'Afrique tech 2026 (FLAGSHIP)

Créneaux automatiques :
✓ 08h30 — LinkedIn carrousel
✓ 12h30 — Instagram carrousel
✓ 19h00 — Facebook carrousel
✓ 21h00 — Instagram Story (manuel)

Modération :
□ 10h00 — commentaires LinkedIn
□ 14h00 — commentaires Instagram
□ 20h00 — commentaires Facebook
□ 22h00 — reporting du jour

Escalade : @sohaib (positionnement) · @aldrin (contenu)","LinkedIn / Instagram / Facebook","False"
"🟧 PROD — #2 IA — 80% sans impact","05/02/2026","2:00 PM","05/02/2026","4:00 PM","False","🟧 PRODUCTION — Aldrin

Article : https://act.africa/blog/ia-generative-entreprise-80-pourcent-sans-impact

Hook : 80% des organisations ne voient aucun impact mesurable de l'IA générative.

Livrables :
□ Copy LinkedIn 10 slides + post 1500 car
□ Copy Instagram 7 slides + caption
□ Copy Facebook 5 slides + post court
□ Carrousels Canva
□ Hashtags + UTM

Drive : /ACT-Editorial/2026-05/05-ia-80-sans-impact/
Cible publication : Mar 05/05","Drive ACT-Editorial","False"
"🟨 VALID — #2 IA — 80% sans impact","05/03/2026","9:00 AM","05/03/2026","9:30 AM","False","🟨 VALIDATION — Sohaib

Article : IA — 80% sans impact (#2 priorité)

Point d'attention : ton honnête mais pas anxiogène.
Hook fort = engagement fort, mais doit ouvrir vers solution ACT.

Checklist standard SEO + édito + visuels.

Drive : /ACT-Editorial/2026-05/05-ia-80-sans-impact/","Drive ACT-Editorial","False"
"🟩 PROG — #2 IA — 80% sans impact","05/04/2026","5:00 PM","05/04/2026","5:30 PM","False","🟩 PROGRAMMATION — Jess

Article #2 : IA — 80% sans impact

Programmation Metricool 3 plateformes + Story IG 21h.
UTM : utm_source=linkedin&utm_campaign=ia-80-sans-impact","Metricool","False"
"🟥 PUBLI — #2 IA — 80% sans impact","05/05/2026","","05/05/2026","","True","🟥 PUBLICATION — Jess

Article #2 : IA — 80% sans impact

Créneaux automatiques 08h30/12h30/19h.
Modération matinée + soirée.
Reporting fin de journée.","LinkedIn / Instagram / Facebook","False"
"🟧 PROD — #3 Maroc hub data centers","05/03/2026","2:00 PM","05/03/2026","4:00 PM","False","🟧 PRODUCTION — Aldrin

Article : https://act.africa/blog/maroc-hub-numerique-afrique-data-centers

Angle : fierté Maroc + chiffres factuels = très partagé sur LinkedIn marocain.

Drive : /ACT-Editorial/2026-05/06-maroc-hub-data-centers/
Cible publication : Mer 06/05","Drive ACT-Editorial","False"
